CustomerID,Tenure_Months,Internet_Type,Contract,Monthly_Bill,Total_Charges,Tech_Support_Calls,Speed_Drops,Churn
CUST-0043,15,Fiber Optic,One year,100.26,1503.9,1,1,1
CUST-0044,20,DSL,One year,47.33,946.6,1,1,1
CUST-0045,36,DSL,Month-to-month,65.95,2374.2,5,1,1
CUST-0046,23,DSL,Month-to-month,44.02,1012.46,1,3,0
CUST-0047,3,Fiber Optic,Two year,104.06,312.18,0,1,0
CUST-0048,52,Fiber Optic,Month-to-month,78.36,4074.72,4,0,0
CUST-0049,40,DSL,Two year,66.77,2670.8,5,2,0
CUST-0050,37,Fiber Optic,One year,108.83,4026.71,5,0,1
CUST-0051,19,DSL,One year,64.61,1227.59,3,1,0
CUST-0052,63,Fiber Optic,One year,82.62,5205.06,5,0,0
CUST-0053,56,Fiber Optic,One year,86.96,4869.76,0,2,0
CUST-0054,56,Fiber Optic,One year,80.13,4487.28,5,1,0
CUST-0055,32,Fiber Optic,One year,108.69,3478.08,1,0,0
CUST-0056,7,DSL,Two year,52.22,365.54,1,3,0
CUST-0057,58,DSL,Two year,44.27,2567.66,4,2,0
CUST-0058,37,Fiber Optic,One year,83.03,3072.11,4,1,0
CUST-0059,57,Fiber Optic,Month-to-month,88.49,5043.93,3,2,0
CUST-0060,48,Fiber Optic,Month-to-month,96.76,4644.48,0,1,1
CUST-0061,34,Fiber Optic,Two year,75.62,2571.08,3,1,0
CUST-0062,49,Fiber Optic,One year,94.96,4653.04,2,1,0
CUST-0063,72,Fiber Optic,Two year,79.83,5747.76,2,2,0
CUST-0064,32,Fiber Optic,One year,75.84,2426.88,2,1,0
CUST-0065,44,DSL,Two year,53.03,2333.32,3,3,0
CUST-0066,43,Fiber Optic,One year,105.5,4536.5,1,2,0
CUST-0067,32,DSL,Two year,65.26,2088.32,2,3,0
CUST-0068,62,Fiber Optic,Two year,96.78,6000.36,2,0,1
CUST-0069,53,Fiber Optic,Two year,109.12,5783.36,1,1,0
CUST-0070,14,DSL,One year,46.77,654.78,4,1,1
CUST-0071,9,DSL,Two year,37.84,340.56,0,1,0
CUST-0072,61,Fiber Optic,Month-to-month,91.32,5570.52,3,0,0
CUST-0073,38,Fiber Optic,One year,89.52,3401.76,2,3,0
CUST-0074,39,DSL,Month-to-month,44.46,1733.94,1,3,0
CUST-0075,15,Fiber Optic,One year,92.74,1391.1,4,1,0
CUST-0076,10,Fiber Optic,Two year,109.14,1091.4,0,3,1
CUST-0077,65,Fiber Optic,Month-to-month,80.96,5262.4,1,1,0
CUST-0078,18,DSL,Month-to-month,35.46,638.28,1,2,0
CUST-0079,59,DSL,Two year,42.35,2498.65,5,3,0
CUST-0080,25,DSL,Month-to-month,41.62,1040.5,2,3,0
CUST-0081,57,DSL,One year,44.99,2564.43,5,1,1
CUST-0082,50,Fiber Optic,Month-to-month,99.26,4963.0,2,3,0
CUST-0083,72,DSL,Two year,65.38,4707.36,3,1,0
CUST-0084,9,DSL,Two year,39.62,356.58,1,3,0
CUST-0085,31,DSL,Month-to-month,66.35,2056.85,3,1,0
CUST-0086,62,Fiber Optic,Two year,101.23,6276.26,1,0,0
CUST-0087,9,DSL,Two year,47.65,428.85,3,3,0
CUST-0088,71,DSL,Two year,36.59,2597.89,2,3,0
CUST-0089,12,DSL,Month-to-month,45.34,544.08,0,0,0
CUST-0090,50,Fiber Optic,Month-to-month,90.54,4527.0,1,0,0
CUST-0091,40,Fiber Optic,One year,106.0,4240.0,3,0,1
CUST-0092,17,Fiber Optic,Two year,84.85,1442.45,3,3,0
CUST-0093,22,Fiber Optic,Two year,93.05,2047.1,0,3,0
CUST-0094,6,Fiber Optic,Month-to-month,83.31,499.86,5,0,1
CUST-0095,45,Fiber Optic,One year,84.09,3784.05,3,0,0
CUST-0096,19,DSL,One year,48.27,917.13,1,3,0
CUST-0097,44,Fiber Optic,Month-to-month,98.48,4333.12,2,2,1
CUST-0098,32,DSL,One year,62.23,1991.36,2,3,0
CUST-0099,32,DSL,Month-to-month,56.54,1809.28,5,2,1
CUST-0100,16,Fiber Optic,One year,109.49,1751.84,0,0,1
CUST-0101,9,Fiber Optic,Two year,100.41,903.69,1,2,0
CUST-0102,71,DSL,One year,37.9,2690.9,2,3,0
CUST-0103,52,Fiber Optic,One year,85.76,4459.52,5,2,1
CUST-0104,19,Fiber Optic,Two year,99.71,1894.49,5,0,0
CUST-0105,9,Fiber Optic,Two year,81.0,729.0,8,2,0
CUST-0106,26,DSL,Two year,43.91,1141.66,1,1,1
CUST-0107,16,DSL,Month-to-month,35.92,574.72,4,2,0
CUST-0108,54,DSL,One year,46.51,2511.54,4,0,1
CUST-0109,45,DSL,Month-to-month,39.27,1767.15,5,0,0
CUST-0110,16,Fiber Optic,Month-to-month,107.2,1715.2,0,2,1
CUST-0111,5,DSL,One year,44.01,220.05,5,0,1
CUST-0112,10,DSL,One year,55.48,554.8,0,3,0
CUST-0113,37,DSL,Two year,56.33,2084.21,4,1,0
CUST-0114,9,DSL,Two year,41.99,377.91,4,3,0
CUST-0115,63,Fiber Optic,Two year,76.85,4841.55,4,3,0
CUST-0116,69,DSL,Two year,66.11,4561.59,3,1,0
CUST-0117,62,DSL,Two year,69.11,4284.82,5,1,0
CUST-0118,58,Fiber Optic,Month-to-month,84.45,4898.1,4,2,0
CUST-0119,71,Fiber Optic,One year,92.35,6556.85,1,3,0
CUST-0120,59,Fiber Optic,Month-to-month,102.61,6053.99,1,0,1
CUST-0121,14,DSL,Month-to-month,46.1,645.4,0,0,1
CUST-0122,53,DSL,Two year,47.03,2492.59,2,0,0
CUST-0123,51,DSL,Two year,48.35,2465.85,0,2,0
CUST-0124,29,Fiber Optic,Two year,75.06,2176.74,0,1,0
CUST-0125,40,Fiber Optic,One year,87.63,3505.2,1,2,0
CUST-0126,38,Fiber Optic,One year,90.22,3428.36,1,3,0
CUST-0127,58,Fiber Optic,Two year,105.53,6120.74,4,3,0
CUST-0128,14,DSL,One year,59.08,827.12,3,3,0
CUST-0129,39,Fiber Optic,One year,78.59,3065.01,3,2,0
CUST-0130,6,DSL,One year,37.9,227.4,4,2,1
CUST-0131,61,Fiber Optic,Two year,94.1,5740.1,5,1,0
CUST-0132,26,Fiber Optic,One year,87.78,2282.28,4,0,1
CUST-0133,38,DSL,Month-to-month,61.64,2342.32,3,2,1
CUST-0134,13,DSL,Two year,67.79,881.27,5,1,0
CUST-0135,58,Fiber Optic,Two year,91.05,5280.9,4,1,0
CUST-0136,45,Fiber Optic,Two year,96.17,4327.65,2,1,0
CUST-0137,63,DSL,One year,40.21,2533.23,5,0,0
CUST-0138,35,Fiber Optic,Two year,78.44,2745.4,0,3,0
CUST-0139,39,Fiber Optic,Two year,82.79,3228.81,1,2,0
CUST-0140,12,DSL,One year,62.19,746.28,0,0,0
CUST-0141,56,DSL,Month-to-month,52.0,2912.0,4,3,1
CUST-0142,31,Fiber Optic,Month-to-month,89.13,2763.03,0,2,0
CUST-0143,72,Fiber Optic,Two year,88.01,6336.72,0,2,0
CUST-0144,31,DSL,Month-to-month,65.5,2030.5,0,1,1
CUST-0145,35,DSL,One year,55.1,1928.5,1,2,0
CUST-0146,67,Fiber Optic,Month-to-month,78.38,5251.46,3,3,0
CUST-0147,59,Fiber Optic,Two year,104.84,6185.56,4,0,0
CUST-0148,26,Fiber Optic,Two year,101.4,2636.4,2,3,0
CUST-0149,35,Fiber Optic,Month-to-month,97.9,3426.5,1,1,0
CUST-0150,39,Fiber Optic,Two year,81.62,3183.18,0,1,0
CUST-0151,5,Fiber Optic,Month-to-month,82.66,413.3,1,1,0
CUST-0152,51,Fiber Optic,Two year,107.82,5498.82,2,2,0
CUST-0153,42,DSL,Two year,66.7,2801.4,4,0,0
CUST-0154,46,Fiber Optic,One year,92.99,4277.54,3,2,0
CUST-0155,51,Fiber Optic,One year,92.62,4723.62,1,2,0
CUST-0156,69,DSL,Month-to-month,48.28,3331.32,1,2,0
CUST-0157,19,DSL,One year,51.75,983.25,2,1,1
CUST-0158,35,DSL,Two year,43.03,1506.05,5,0,1
CUST-0159,58,DSL,Two year,35.81,2076.98,1,2,0
CUST-0160,27,DSL,One year,66.53,1796.31,3,2,0
CUST-0161,22,Fiber Optic,One year,76.21,1676.62,1,2,0
CUST-0162,2,DSL,One year,40.82,81.64,2,0,0
CUST-0163,46,Fiber Optic,One year,80.97,3724.62,2,2,1
CUST-0164,28,Fiber Optic,Two year,98.18,2749.04,5,1,0
CUST-0165,53,Fiber Optic,Month-to-month,104.18,5521.54,0,3,0
CUST-0166,34,DSL,One year,56.91,1934.94,5,0,1
CUST-0167,71,Fiber Optic,One year,79.11,5616.81,2,1,0
CUST-0168,33,Fiber Optic,Two year,87.79,2897.07,1,1,1
CUST-0169,25,DSL,Month-to-month,61.89,1547.25,5,0,1
CUST-0170,61,Fiber Optic,Month-to-month,82.57,5036.77,1,0,0
CUST-0171,25,Fiber Optic,One year,104.33,2608.25,1,1,0
CUST-0172,41,Fiber Optic,Month-to-month,87.61,3592.01,4,2,0
CUST-0173,30,Fiber Optic,Month-to-month,89.52,2685.6,1,2,1
CUST-0174,47,DSL,Month-to-month,43.22,2031.34,0,0,1
CUST-0175,13,Fiber Optic,Month-to-month,86.32,1122.16,4,0,1
CUST-0176,43,DSL,Month-to-month,59.3,2549.9,1,0,0
CUST-0177,54,DSL,Month-to-month,43.47,2347.38,5,1,1
CUST-0178,15,Fiber Optic,One year,94.42,1416.3,2,2,0
CUST-0179,14,Fiber Optic,One year,109.75,1536.5,5,2,0
CUST-0180,46,DSL,One year,52.26,2403.96,2,0,0
CUST-0181,29,DSL,Month-to-month,49.03,1421.87,4,2,0
CUST-0182,24,DSL,One year,57.17,1372.08,2,0,0
CUST-0183,1,DSL,One year,66.31,66.31,6,2,0
CUST-0184,36,Fiber Optic,Month-to-month,98.54,3547.44,2,1,0
CUST-0185,38,DSL,Two year,43.87,1667.06,0,2,0
CUST-0186,44,Fiber Optic,Month-to-month,81.93,3604.92,5,2,1
CUST-0187,68,Fiber Optic,One year,87.87,5975.16,2,3,0
CUST-0188,3,DSL,Two year,47.96,143.88,6,3,0
CUST-0189,1,DSL,One year,50.57,50.57,2,2,1
CUST-0190,41,DSL,Month-to-month,54.76,2245.16,3,0,0
CUST-0191,15,Fiber Optic,One year,89.53,1342.95,1,3,0
CUST-0192,65,Fiber Optic,Two year,105.49,6856.85,5,2,1
CUST-0193,21,DSL,One year,59.34,1246.14,1,3,0
CUST-0194,38,DSL,Month-to-month,53.35,2027.3,1,0,1
CUST-0195,63,DSL,Month-to-month,50.44,3177.72,1,1,0
CUST-0196,30,DSL,Two year,40.09,1202.7,1,3,0
CUST-0197,70,Fiber Optic,Two year,109.21,7644.7,0,3,0
CUST-0198,43,DSL,Month-to-month,58.24,2504.32,3,1,1
CUST-0199,61,DSL,Month-to-month,40.93,2496.73,1,1,0
CUST-0200,16,Fiber Optic,Month-to-month,77.12,1233.92,2,2,0
CUST-0201,49,Fiber Optic,Month-to-month,108.17,5300.33,5,2,0
CUST-0202,47,DSL,One year,38.53,1810.91,2,1,0
CUST-0203,68,DSL,One year,48.74,3314.32,2,3,0
CUST-0204,69,DSL,Month-to-month,39.86,2750.34,0,3,0
CUST-0205,15,Fiber Optic,One year,98.61,1479.15,0,1,0
CUST-0206,55,Fiber Optic,Month-to-month,106.98,5883.9,0,2,0
CUST-0207,72,Fiber Optic,Month-to-month,101.66,7319.52,2,1,1
CUST-0208,43,Fiber Optic,Month-to-month,87.01,3741.43,0,2,0
CUST-0209,25,Fiber Optic,Month-to-month,107.02,2675.5,0,0,0
CUST-0210,26,Fiber Optic,One year,83.13,2161.38,4,3,0
CUST-0211,67,Fiber Optic,One year,75.09,5031.03,5,2,1
CUST-0212,45,Fiber Optic,Two year,82.84,3727.8,4,3,1
CUST-0213,72,Fiber Optic,One year,102.1,7351.2,1,3,0
CUST-0214,52,Fiber Optic,Two year,93.39,4856.28,5,3,0
CUST-0215,60,DSL,Two year,67.53,4051.8,2,3,0
CUST-0216,12,DSL,One year,53.86,646.32,4,2,0
CUST-0217,68,DSL,Month-to-month,38.14,2593.52,3,0,0
CUST-0218,39,Fiber Optic,Two year,87.41,3408.99,3,1,1
CUST-0219,59,DSL,Two year,60.37,3561.83,0,1,0
CUST-0220,37,DSL,Two year,50.98,1886.26,2,0,0
CUST-0221,26,Fiber Optic,One year,101.44,2637.44,1,3,0
CUST-0222,20,DSL,Two year,67.07,1341.4,5,2,1
CUST-0223,60,Fiber Optic,Two year,77.83,4669.8,5,3,0
CUST-0224,15,DSL,One year,41.78,626.7,2,1,1
CUST-0225,46,Fiber Optic,One year,102.95,4735.7,5,2,0
CUST-0226,66,Fiber Optic,Month-to-month,90.54,5975.64,4,2,0
CUST-0227,33,Fiber Optic,Two year,94.2,3108.6,5,3,1
CUST-0228,33,Fiber Optic,Two year,90.21,2976.93,3,2,0
CUST-0229,26,DSL,One year,62.49,1624.74,2,3,0
CUST-0230,18,Fiber Optic,Two year,93.81,1688.58,2,1,0
CUST-0231,4,Fiber Optic,One year,84.55,338.2,8,0,1
CUST-0232,68,Fiber Optic,Month-to-month,81.14,5517.52,0,2,0
CUST-0233,18,Fiber Optic,Month-to-month,93.2,1677.6,3,3,0
CUST-0234,2,Fiber Optic,Month-to-month,84.27,168.54,1,2,1
CUST-0235,42,DSL,One year,35.11,1474.62,3,2,0
CUST-0236,27,Fiber Optic,Month-to-month,85.89,2319.03,4,3,0
CUST-0237,17,Fiber Optic,Month-to-month,93.18,1584.06,1,2,1
CUST-0238,56,Fiber Optic,Two year,96.43,5400.08,0,3,0
CUST-0239,61,Fiber Optic,One year,91.25,5566.25,3,0,0
CUST-0240,71,DSL,One year,57.32,4069.72,2,3,0
CUST-0241,20,DSL,Two year,46.01,920.2,4,1,1
CUST-0242,22,Fiber Optic,One year,106.46,2342.12,0,1,1
CUST-0243,69,Fiber Optic,One year,102.4,7065.6,3,3,0
CUST-0244,55,DSL,Two year,69.27,3809.85,4,2,1
CUST-0245,3,DSL,One year,60.32,180.96,6,3,0
CUST-0246,43,Fiber Optic,One year,90.21,3879.03,2,0,0
CUST-0247,44,DSL,Two year,51.33,2258.52,4,0,0
CUST-0248,51,DSL,One year,45.42,2316.42,5,2,0
CUST-0249,20,DSL,Month-to-month,64.73,1294.6,2,0,0
CUST-0250,32,DSL,One year,55.64,1780.48,4,2,0
CUST-0251,57,Fiber Optic,Two year,101.42,5780.94,3,2,0
CUST-0252,20,Fiber Optic,Month-to-month,97.9,1958.0,0,2,1
CUST-0253,15,Fiber Optic,One year,77.44,1161.6,4,1,0
CUST-0254,28,DSL,Two year,52.44,1468.32,5,0,0
CUST-0255,49,DSL,Two year,50.79,2488.71,1,0,0
CUST-0256,27,DSL,One year,66.62,1798.74,4,0,0
CUST-0257,32,DSL,Month-to-month,69.66,2229.12,1,1,0
CUST-0258,42,Fiber Optic,One year,96.43,4050.06,3,2,0
CUST-0259,33,DSL,One year,64.02,2112.66,5,2,0
CUST-0260,58,DSL,One year,52.88,3067.04,0,3,0
CUST-0261,39,DSL,One year,67.21,2621.19,3,0,0
CUST-0262,63,Fiber Optic,One year,107.82,6792.66,2,2,0
CUST-0263,59,DSL,One year,68.99,4070.41,0,3,0
CUST-0264,53,Fiber Optic,Month-to-month,99.34,5265.02,0,2,1
CUST-0265,50,Fiber Optic,Two year,106.91,5345.5,0,3,0
CUST-0266,4,DSL,Month-to-month,50.92,203.68,8,3,0
CUST-0267,54,DSL,Month-to-month,43.34,2340.36,2,3,1
CUST-0268,51,Fiber Optic,One year,98.13,5004.63,4,1,1
CUST-0269,14,DSL,Month-to-month,64.05,896.7,2,0,1
CUST-0270,17,DSL,Month-to-month,53.24,905.08,1,0,0
CUST-0271,46,DSL,Two year,65.28,3002.88,3,3,0
CUST-0272,3,DSL,Month-to-month,63.07,189.21,4,0,0
CUST-0273,4,Fiber Optic,One year,93.27,373.08,3,0,0
CUST-0274,24,DSL,Two year,49.22,1181.28,0,0,0
CUST-0275,60,DSL,One year,44.18,2650.8,0,0,0
CUST-0276,54,Fiber Optic,Month-to-month,106.26,5738.04,4,3,1
CUST-0277,55,Fiber Optic,Month-to-month,80.19,4410.45,5,3,1
CUST-0278,51,Fiber Optic,Two year,90.7,4625.7,3,0,0
CUST-0279,7,DSL,Two year,62.67,438.69,7,1,1
CUST-0280,11,Fiber Optic,Month-to-month,104.5,1149.5,1,2,1
CUST-0281,50,DSL,One year,69.02,3451.0,1,1,0
CUST-0282,14,Fiber Optic,Two year,96.94,1357.16,4,0,0
CUST-0283,33,DSL,Two year,49.87,1645.71,5,3,0
CUST-0284,22,Fiber Optic,Two year,90.79,1997.38,2,3,0
CUST-0285,4,DSL,Two year,66.57,266.28,1,0,0
CUST-0286,64,DSL,One year,46.05,2947.2,1,3,0
CUST-0287,31,Fiber Optic,One year,83.3,2582.3,4,3,0
CUST-0288,24,Fiber Optic,Month-to-month,98.77,2370.48,1,0,0
CUST-0289,48,DSL,One year,51.84,2488.32,1,1,0
CUST-0290,34,DSL,Two year,59.7,2029.8,5,3,0
CUST-0291,45,DSL,Two year,66.71,3001.95,2,2,0
CUST-0292,29,DSL,Two year,40.4,1171.6,1,1,0
CUST-0293,65,DSL,Two year,36.45,2369.25,0,1,0
CUST-0294,24,Fiber Optic,Month-to-month,94.35,2264.4,2,2,0
CUST-0295,67,Fiber Optic,One year,94.2,6311.4,4,0,1
CUST-0296,43,Fiber Optic,One year,83.1,3573.3,3,2,0
CUST-0297,62,Fiber Optic,Month-to-month,107.16,6643.92,1,2,1
CUST-0298,61,Fiber Optic,Two year,105.45,6432.45,3,3,0
CUST-0299,25,DSL,Month-to-month,40.54,1013.5,2,1,0
CUST-0300,31,DSL,Month-to-month,52.4,1624.4,3,1,0
CUST-0301,24,Fiber Optic,Month-to-month,87.66,2103.84,5,1,1
CUST-0302,12,Fiber Optic,Two year,103.8,1245.6,5,2,1
CUST-0303,11,DSL,Month-to-month,38.82,427.02,6,0,1
CUST-0304,21,Fiber Optic,Month-to-month,91.46,1920.66,4,3,0
CUST-0305,71,Fiber Optic,Month-to-month,86.33,6129.43,3,2,0
CUST-0306,16,Fiber Optic,One year,76.72,1227.52,0,2,0
CUST-0307,38,Fiber Optic,Month-to-month,82.06,3118.28,2,3,0
CUST-0308,52,Fiber Optic,Month-to-month,78.65,4089.8,5,1,0
CUST-0309,65,DSL,One year,44.48,2891.2,1,3,0
CUST-0310,45,DSL,One year,55.37,2491.65,2,2,0
CUST-0311,20,DSL,Month-to-month,55.14,1102.8,2,2,0
CUST-0312,17,Fiber Optic,Two year,89.77,1526.09,5,1,0
CUST-0313,67,DSL,One year,41.52,2781.84,5,3,1
CUST-0314,20,DSL,One year,64.02,1280.4,3,2,0
CUST-0315,5,DSL,Month-to-month,49.99,249.95,3,2,0
CUST-0316,46,DSL,Month-to-month,61.93,2848.78,3,0,0
CUST-0317,7,DSL,Two year,44.95,314.65,2,1,0
CUST-0318,36,Fiber Optic,One year,92.04,3313.44,0,1,0
CUST-0319,5,Fiber Optic,Two year,75.91,379.55,8,1,0
CUST-0320,65,DSL,Month-to-month,45.63,2965.95,5,3,1
CUST-0321,27,Fiber Optic,Month-to-month,85.91,2319.57,0,3,0
CUST-0322,20,DSL,Month-to-month,45.55,911.0,5,0,1
CUST-0323,32,DSL,Month-to-month,43.18,1381.76,2,2,0
CUST-0324,34,DSL,One year,41.9,1424.6,5,3,1
CUST-0325,11,DSL,Month-to-month,65.07,715.77,0,3,1
CUST-0326,16,Fiber Optic,One year,97.3,1556.8,2,2,1
CUST-0327,3,DSL,One year,65.01,195.03,8,2,0
CUST-0328,2,DSL,One year,54.15,108.3,0,2,1
CUST-0329,47,Fiber Optic,Two year,98.86,4646.42,3,1,1
CUST-0330,72,Fiber Optic,Month-to-month,95.32,6863.04,5,0,1
CUST-0331,49,Fiber Optic,Month-to-month,107.37,5261.13,5,2,0
CUST-0332,59,DSL,Two year,51.16,3018.44,2,2,0
CUST-0333,71,Fiber Optic,Month-to-month,102.51,7278.21,2,2,0
CUST-0334,62,DSL,Month-to-month,35.52,2202.24,3,2,0
CUST-0335,6,Fiber Optic,Two year,77.27,463.62,8,0,0
CUST-0336,24,DSL,Month-to-month,37.69,904.56,4,2,1
CUST-0337,35,Fiber Optic,Month-to-month,106.81,3738.35,1,3,1
CUST-0338,57,Fiber Optic,Two year,99.68,5681.76,0,2,0
CUST-0339,44,Fiber Optic,Month-to-month,109.87,4834.28,4,2,0
CUST-0340,64,Fiber Optic,Month-to-month,106.5,6816.0,0,2,0
CUST-0341,63,DSL,One year,50.34,3171.42,1,0,0
CUST-0342,32,DSL,Two year,53.94,1726.08,4,1,1
CUST-0343,28,DSL,Two year,35.84,1003.52,2,0,0
CUST-0344,48,DSL,Month-to-month,55.35,2656.8,2,3,1
CUST-0345,71,Fiber Optic,Two year,78.75,5591.25,0,1,0
CUST-0346,37,DSL,Two year,42.17,1560.29,1,0,0
CUST-0347,19,Fiber Optic,Month-to-month,93.83,1782.77,5,1,1
CUST-0348,31,DSL,Two year,69.91,2167.21,0,3,0
CUST-0349,15,Fiber Optic,One year,79.35,1190.25,2,1,0
CUST-0350,33,Fiber Optic,One year,85.53,2822.49,2,0,0
CUST-0351,51,DSL,Month-to-month,63.92,3259.92,2,0,0
CUST-0352,37,DSL,One year,37.0,1369.0,4,1,0
CUST-0353,19,DSL,Month-to-month,45.05,855.95,3,1,0
CUST-0354,13,DSL,One year,38.98,506.74,1,2,0
CUST-0355,12,Fiber Optic,One year,90.45,1085.4,3,2,0
CUST-0356,57,Fiber Optic,One year,85.07,4848.99,5,2,0
CUST-0357,71,Fiber Optic,One year,83.39,5920.69,4,0,0
CUST-0358,5,DSL,Month-to-month,67.53,337.65,5,1,1
CUST-0359,62,DSL,Two year,56.42,3498.04,5,2,0
CUST-0360,44,DSL,Two year,41.05,1806.2,2,1,0
CUST-0361,41,Fiber Optic,Month-to-month,95.94,3933.54,5,0,1
CUST-0362,2,Fiber Optic,Two year,87.51,175.02,4,1,1
CUST-0363,13,DSL,Month-to-month,49.32,641.16,1,1,0
CUST-0364,43,Fiber Optic,One year,79.41,3414.63,3,1,0
CUST-0365,68,Fiber Optic,Two year,102.38,6961.84,2,3,0
CUST-0366,6,Fiber Optic,One year,93.13,558.78,4,3,0
CUST-0367,16,Fiber Optic,One year,94.83,1517.28,5,1,0
CUST-0368,25,DSL,One year,41.08,1027.0,2,1,0
CUST-0369,68,DSL,Two year,63.39,4310.52,5,0,0
CUST-0370,28,Fiber Optic,Two year,85.65,2398.2,0,2,0
CUST-0371,44,Fiber Optic,Two year,92.02,4048.88,0,2,0
CUST-0372,66,DSL,One year,38.56,2544.96,2,1,0
CUST-0373,61,Fiber Optic,Two year,98.25,5993.25,4,3,0
CUST-0374,33,Fiber Optic,Two year,81.95,2704.35,0,1,0
CUST-0375,7,Fiber Optic,Two year,90.22,631.54,0,3,0
CUST-0376,51,DSL,Month-to-month,69.37,3537.87,1,3,0
CUST-0377,9,Fiber Optic,Two year,108.19,973.71,3,1,1
CUST-0378,39,DSL,Two year,36.45,1421.55,1,3,0
CUST-0379,60,Fiber Optic,Two year,93.4,5604.0,3,0,0
CUST-0380,1,Fiber Optic,Two year,86.33,86.33,1,2,0
CUST-0381,41,DSL,Month-to-month,41.72,1710.52,4,2,1
CUST-0382,70,Fiber Optic,Month-to-month,88.69,6208.3,0,1,0
CUST-0383,42,Fiber Optic,Month-to-month,107.23,4503.66,1,2,0
CUST-0384,33,Fiber Optic,One year,108.76,3589.08,3,1,0
CUST-0385,49,DSL,One year,42.71,2092.79,0,2,0
CUST-0386,70,DSL,Month-to-month,42.38,2966.6,3,3,0
CUST-0387,29,Fiber Optic,Two year,106.68,3093.72,5,0,1
CUST-0388,48,Fiber Optic,Month-to-month,97.35,4672.8,5,3,1
CUST-0389,54,DSL,Month-to-month,42.35,2286.9,5,0,0
CUST-0390,60,DSL,Month-to-month,53.44,3206.4,0,1,0
CUST-0391,67,Fiber Optic,Month-to-month,88.49,5928.83,1,2,0
CUST-0392,44,DSL,One year,48.91,2152.04,3,0,0
CUST-0393,14,Fiber Optic,Two year,85.69,1199.66,1,1,0
CUST-0394,20,Fiber Optic,One year,104.7,2094.0,2,0,0
CUST-0395,36,DSL,Month-to-month,49.39,1778.04,3,1,0
CUST-0396,16,DSL,Two year,62.4,998.4,4,2,0
CUST-0397,40,Fiber Optic,Two year,77.33,3093.2,0,0,1
CUST-0398,38,DSL,Month-to-month,53.86,2046.68,5,3,1
CUST-0399,66,Fiber Optic,Two year,78.05,5151.3,2,3,0
CUST-0400,6,DSL,One year,57.05,342.3,6,0,1
